time_step,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,signal_10,signal_11,signal_12,signal_13,signal_14,signal_15,signal_16,signal_17,signal_18,signal_19,signal_20
749,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15,299.15
750,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32,299.32
751,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55
752,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65,300.65
753,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78,301.78
754,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
755,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85,304.85
756,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87,305.87
757,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35,307.35
758,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48,308.48
759,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06,309.06
760,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65,309.65
761,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7,309.7
762,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15
763,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03,308.03
764,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77,306.77
765,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56,305.56
766,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57,304.57
767,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33,302.33
768,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62,301.62
769,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29,300.29
770,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35,299.35
771,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29,299.29
772,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26,299.26
773,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68,299.68
774,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54,300.54
775,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14,302.14
776,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74,303.74
777,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25
778,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25,306.25
779,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74,307.74
780,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14,309.14
781,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14
782,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6,310.6
783,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69,310.69
784,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96,308.96
785,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06,305.06
786,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35,304.35
787,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55,302.55
788,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48,302.48
789,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32,302.32
790,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01,302.01
791,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87
792,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72,301.72
793,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59,301.59
794,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44,301.44
795,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3,301.3
796,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15
797,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24,301.24
798,302.24,302.24,332.72373,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24,302.24
799,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52,304.52
800,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35,305.35
801,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85,305.85
802,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14
803,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59,308.59
804,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54,309.54
805,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08,309.08
806,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26,309.26
807,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85,309.85
808,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95
809,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95,309.95
810,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15,309.15
811,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05
812,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28,307.28
813,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96,304.96
814,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41,304.41
815,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72,303.72
816,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3,303.3
817,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
818,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86,302.86
819,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3
820,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86,301.86
821,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87
822,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41,302.41
823,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95,302.95
824,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87
825,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69,305.69
826,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78,306.78
827,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54,308.54
828,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25,309.25
829,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55
830,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24,311.24
831,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55
832,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55
833,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55,311.55
834,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26,308.26
835,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06,307.06
836,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6,306.6
837,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85,303.85
838,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96,302.96
839,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87
840,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73,301.73
841,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58,301.58
842,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57,301.57
843,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15,301.15
844,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26,301.26
845,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23,301.23
846,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96,301.96
847,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81,303.81
848,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74,304.74
849,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53,305.53
850,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84,306.84
851,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05,308.05
852,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32,309.32
853,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14,310.14
854,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96,310.96
855,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68,311.68
856,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14,312.14
857,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57,309.57
858,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54,306.54
859,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05,306.05
860,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92,304.92
861,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13,304.13
862,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14,304.14
863,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01,304.01
864,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43,303.43
865,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15
866,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72,302.72
867,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44,302.44
868,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71,301.71
869,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94,301.94
870,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14,303.14
871,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44,304.44
872,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95,305.95
873,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64,306.64
874,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42,308.42
875,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55
876,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78
877,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33,312.33
878,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87,312.87
879,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34,313.34
880,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16,311.16
881,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15,308.15
882,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4,306.4
883,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17,306.17
884,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03,306.03
885,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87,304.87
886,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29,304.29
887,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44,303.44
888,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66,302.66
889,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3,302.3
890,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87,301.87
891,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0
892,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89,301.89
893,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75,301.75
894,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78,302.78
895,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95,303.95
896,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25,305.25
897,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75,305.75
898,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14,307.14
899,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55,308.55
900,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55,309.55
901,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96,309.96
902,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78,310.78
903,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97,310.97
904,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42,311.42
905,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55,310.55
906,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33,303.33
907,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35,300.35
908,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15,300.15
909,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55,299.55
910,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13,299.13
911,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57
912,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16
913,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16,299.16
914,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44,299.44
915,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87
916,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77,299.77
917,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87,299.87
